idedomuny;NomMun;pob_total;pob_hombres;pob_mujeres
1205980;TEPECOACUILCO DE TRUJANO;31566;15689;15877
1206080;TETIPAC;10703;5424;5279
1206180;TIXTLA DE GUERRERO;25795;12846;12949
1206280;TLACOACHISTLAHUACA;11427;5699;5728
1206380;TLACOAPA;6040;2914;3126
1206480;TLALCHAPA;14973;7626;7347
1206580;TLALIXTAQUILLA;5867;2960;2907
1206680;TLAPA DE COMONFORT;33581;16571;17010
1206780;TLAPEHUALA;18699;9215;9484
1206880;UNION LA;19239;9807;9432
1206980;XAPATLAHUAC;9931;4892;5039
1207080;XOCHIHUEHUETLAN;6056;2927;3129
1207180;XOCHISTLAHUACA;13868;6942;6926
1207280;ZAPOTITLAN TABLAS;20627;10348;10279
1207380;ZIRANDARO;20024;10177;9847
1207480;ZITLALA;13629;6880;6749
1207580;EDUARDO NERI;27643;13816;13827
1300180;ACATLAN;13513;6957;6556
1300280;ACAXOCHITLAN;26293;13154;13139
1300380;ACTOPAN;34622;16915;17707
1300480;AGUA BLANCA;7599;3843;3756
1300580;AJACUBA;11875;5960;5915
1300680;ALFAJAYUCAN;15700;8100;7600
1300780;ALMOLOYA;8550;4348;4202
1300880;APAN;30090;14843;15247
1300980;ARENAL EL;10151;5188;4963
1301080;ATITALAQUIA;10384;5331;5053
1301180;ATLAPEXCO;13989;7318;6671
1301280;ATOTONILCO EL GRANDE;24152;12082;12070
1301380;ATOTONILCO DE TULA;14519;7458;7061
1301480;CALNALI;15737;7777;7960
1301580;CARDONAL;13924;7063;6861
1301680;CUAUTEPEC;30535;15432;15103
1301780;CHAPANTONGO;9678;4997;4681
1301880;CHAPULHUACAN;15580;8172;7408
1301980;CHILCUAUTLA;10060;5167;4893
1302080;ELOXOCHITLAN;3492;1718;1774
1302180;EMILIANO ZAPATA;12520;6279;6241
1302280;EPAZOYUCAN;8392;4233;4159
1302380;FRANCISCO I MADERO;21741;11030;10711
1302480;HUASCA DE OCAMPO;13834;6919;6915
1302580;HUAUTLA;23595;11677;11918
1302680;HUAZALINGO;7844;3950;3894
1302780;HUEHUETLA;18508;9524;8984
1302880;HUEJUTLA;58806;29853;28953
1302980;HUICHAPAN;28655;14778;13877
1303080;IXMIQUILPAN;52124;26138;25986
1303180;JACALA;11117;5530;5587
1303280;JALTOCAN;7433;3662;3771
1303380;JUAREZ HIDALGO;3401;1751;1650
1303480;LOLOTLA;8237;4104;4133
1303580;METEPEC;7702;3848;3854
1303680;MEZQUITITLAN;8388;4127;4261
1303780;METZTITLAN;20380;10302;10078
1303880;MINERAL DEL CHICO;7004;3517;3487
1303980;MINERAL DEL MONTE;13296;6399;6897
1304080;MINERAL DE LA REFORMA;7142;3590;3552
1304180;MISION LA;10755;5623;5132
1304280;MIXQUIAHUALA;24782;12450;12332
1304380;MOLANGO;11321;5726;5595
1304480;NICOLAS FLORES;7126;3676;3450
1304580;NOPALA DE VILLAGRAN;11401;5865;5536
1304680;OMITLAN DE JUAREZ;6282;3149;3133
1304780;ORIZATLAN;26494;13522;12972
1304880;PACULA;5882;3032;2850
1304980;PACHUCA;135248;64685;70563
1305080;PISAFLORES;11967;6242;5725
1305180;PROGRESO;15026;7399;7627
1305280;SAN AGUSTIN TLAXIACA;17668;8990;8678
1305380;SAN BARTOLO TUTOTEPEC;17838;9073;8765
1305480;SAN SALVADOR;20356;10319;10037
1305580;SANTIAGO DE ANAYA;11481;5978;5503
1305680;SANTIAGO TULANTEPEC;12568;6200;6368
1305780;SINGUILUCAN;11106;5604;5502
1305880;TASQUILLO;13797;6864;6933
1305980;TECOZAUTLA;22650;11645;11005
1306080;TENANGO DE DORIA;13438;6940;6498
1306180;TEPEAPULCO;37888;18857;19031
1306280;TEPEHUACAN DE GUERRERO;19580;10156;9424
1306380;TEPEJI DE OCAMPO;37777;19206;18571
1306480;TEPETITLAN;6825;3389;3436
1306580;TETEPANGO;5922;3021;2901
1306680;TEZONTEPEC DE ALDAMA;25050;12914;12136
1306780;TIANGUISTENGO;14771;7400;7371
1306880;TIZAYUCA;16454;8209;8245
1306980;TLAHUELILPAN;9136;4598;4538
1307080;TLAHUILTEPA;12108;6177;5931
1307180;TLANALAPA;6608;3265;3343
1307280;TLANCHINOL;22843;11727;11116
1307380;TLAXCOAPAN;15156;7629;7527
1307480;TOLCAYUCA;5252;2631;2621
1307580;TULA DE ALLENDE;57604;28721;28883
1307680;TULANCINGO;70782;34152;36630
1307780;VILLA DE TEZONTEPEC;5702;2798;2904
1307880;XOCHIATIPAN;12211;6172;6039
1307980;XOCHICOATLAN;8018;4039;3979
1308080;YAHUALICA;17804;8817;8987
1308180;ZACUALTIPAN;15795;7785;8010
1308280;ZAPOTLAN DE JUAREZ;7949;3941;4008
1308380;ZEMPOALA;16049;8234;7815
1308480;ZIMAPAN;32461;16379;16082
1400180;ACATIC;12882;6206;6676
1400280;ACATLAN DE JUAREZ;13981;7010;6971
1400380;AHUALULCO DE MERCADO;16884;8395;8489
1400480;AMACUECA;4690;2319;2371
1400580;AMATITAN;8771;4440;4331
1400680;AMECA;48259;24175;24084
1400780;ANTONIO ESCOBEDO;8099;4048;4051
