idedomun;IDH_ingpc;;;;;;;;;;;;;;;;;;
11044;10667;;;;;;;;;;;;;;;;;;
11045;4709;;;;;;;;;;;;;;;;;;
11046;9082;;;;;;;;;;;;;;;;;;
12001;12033;;;;;;;;;;;;;;;;;;
12002;3357;;;;;;;;;;;;;;;;;;
12003;5221;;;;;;;;;;;;;;;;;;
12004;3270;;;;;;;;;;;;;;;;;;
12005;5466;;;;;;;;;;;;;;;;;;
12006;6838;;;;;;;;;;;;;;;;;;
12007;8975;;;;;;;;;;;;;;;;;;
12008;5118;;;;;;;;;;;;;;;;;;
12009;3678;;;;;;;;;;;;;;;;;;
12010;3086;;;;;;;;;;;;;;;;;;
12011;7442;;;;;;;;;;;;;;;;;;
12012;4425;;;;;;;;;;;;;;;;;;
12013;5795;;;;;;;;;;;;;;;;;;
12014;8114;;;;;;;;;;;;;;;;;;
12015;8296;;;;;;;;;;;;;;;;;;
12016;3549;;;;;;;;;;;;;;;;;;
12017;7085;;;;;;;;;;;;;;;;;;
12018;6107;;;;;;;;;;;;;;;;;;
12019;4044;;;;;;;;;;;;;;;;;;
12020;3631;;;;;;;;;;;;;;;;;;
12021;6199;;;;;;;;;;;;;;;;;;
12022;5905;;;;;;;;;;;;;;;;;;
12023;6058;;;;;;;;;;;;;;;;;;
12024;3983;;;;;;;;;;;;;;;;;;
12025;4611;;;;;;;;;;;;;;;;;;
12026;5059;;;;;;;;;;;;;;;;;;
12027;6856;;;;;;;;;;;;;;;;;;
12028;5202;;;;;;;;;;;;;;;;;;
12029;12506;;;;;;;;;;;;;;;;;;
12030;6853;;;;;;;;;;;;;;;;;;
12031;4025;;;;;;;;;;;;;;;;;;
12032;4045;;;;;;;;;;;;;;;;;;
12033;7161;;;;;;;;;;;;;;;;;;
12034;7632;;;;;;;;;;;;;;;;;;
12035;13379;;;;;;;;;;;;;;;;;;
12036;5105;;;;;;;;;;;;;;;;;;
12037;5878;;;;;;;;;;;;;;;;;;
12038;10444;;;;;;;;;;;;;;;;;;
12039;6294;;;;;;;;;;;;;;;;;;
12040;4475;;;;;;;;;;;;;;;;;;
12041;4274;;;;;;;;;;;;;;;;;;
12042;4279;;;;;;;;;;;;;;;;;;
12043;2805;;;;;;;;;;;;;;;;;;
12044;6697;;;;;;;;;;;;;;;;;;
12045;5357;;;;;;;;;;;;;;;;;;
12046;7220;;;;;;;;;;;;;;;;;;
12047;4486;;;;;;;;;;;;;;;;;;
12048;8122;;;;;;;;;;;;;;;;;;
12049;6966;;;;;;;;;;;;;;;;;;
12050;9952;;;;;;;;;;;;;;;;;;
12051;4445;;;;;;;;;;;;;;;;;;
